username,productID,ratings
Byger yang,1,3
ByMG,2,4
BySharon Lambert,3,5
Bymark sexson,4,5
Bylinda,5,5
ByPainter Marlow,6,5
ByAmazon Customer,7,5
ByLynn Pendegrass,8,5
ByK.R.,9,3
BySilverLane,10,4
ByTXcust,11,5
Byd'Isigny,12,3
ByFabiola Sarabia,13,5
ByDavyo,14,5
ByBrenda jefferson,15,5
ByAmazon Customer,16,5
ByLaura,17,1
ByFlip Flop Life,18,2
ByAdam,19,4
ByAmazon Customer,20,3
Byfredrick m. gjedde,21,4
ByLisa,22,5
ByJessica,23,5
Byskiperbear,24,4
ByDiane ault,25,1
ByAmazon Customer,26,4
ByRoman E Ramirez,27,4
ByJoshua and Nikki,28,5
ByIris Castillo,29,5
Bymerle,30,3
ByAmazon Customer,31,4
ByNiqueFit,32,5
ByDave,33,5
ByBIGGUY,34,5
ByAmazon Customer,35,4
ByRonski,36,5
ByCorey L.,37,5
ByAmazon Customer,38,3
ByTWEagle,39,5
ByKeith,40,1
ByJeff T.,41,5
ByGPN,42,5
ByS. Nash,43,3
ByAlaska Moutian Man,44,1
ByCharlie,45,5
ByMark A. Hougham,46,1
ByTravis C.,47,5
ByAmazon Customer,48,1
Bykaren oakes,49,4
ByShirtGuy,50,5
ByAmazon Customer,51,5
ByAG,52,5
ByWilliam,53,5
ByA. R. Colon,54,5
ByOli S.,55,5
ByLuis A Molina,56,5
ByJOSH,57,5
ByMatthew,58,5
ByHOVI HATTER,59,5
ByAZNickW,60,5
ByMichael,61,5
Byelan,62,5
ByJnzWorld,63,5
ByC,64,4
ByCSDennett,65,1
ByLINDA PROWELL SMITH,66,4
ByShopInNC,67,2
ByM. B.,68,5
ByAmazon Customer,69,5
ByPaul A. Dietrich,70,5
ByAmy Stowe,71,5
ByAmazon Customer,72,5
ByDV Seel,73,5
ByTarandeep Singh,74,5
ByR. Hipp,75,3
ByAmazon Customer,76,5
ByRaodmo,77,5
Byjohn,78,4
ByHeather,79,5
ByK. Bender,80,5
BySamuel D. Thomas,81,4
ByCollin B.,82,4
By951Jimbo,83,5
ByLMP,84,5
ByA. Boyd,85,4
ByRichard,86,5
ByBeachdog7,87,5
ByMarc Strand,88,5
ByMikeRigel,89,5
ByP. Goldsmith,90,5
ByWalter E. Kaiser,91,4
ByCambridgecanal,92,4
ByKipper,93,5
Bybejenerous,94,5
ByTravis McDowell,95,5
ByPatricia M. Dashiell,96,5
ByJennifer R Becker,97,5
ByCathy Watson,98,5
BySarah R Bennett,99,5
ByRory P. Biggins,100,5
ByILIR17,101,5
ByCurtis Taylor Numberg,102,4
ByPaul J.,103,2
ByAdam,104,5
ByDoug,105,5
ByWilliam A Gioiosa,106,5
ByLuis Dyer,107,5
ByGary H. Labowitz,108,5
Byaardvark,109,5
ByChristopher Malone,110,5
ByWhistlers Mom,111,5
ByMatthew B.,112,5
ByAshley Mervin,113,5
ByMs.Bane,114,5
Byslick55,115,1
ByFar2Organized,116,2
ByDuffer.,117,5
ByDeKalz,118,5
Bymarichal,119,5
Bywilliam kern,120,5
Byrobtay7,121,5
ByMariB,122,5
ByDZ,123,5
ByBryan Pike,124,5
ByAmazon Customer,125,5
Bybrian perez,126,5
ByCarla,127,5
Bysheila ware,128,5
ByDS-Says,129,5
ByK2,130,5
ByROBERT BERNACCHI,131,5
ByFlint,132,5
Bygentlman4u,133,5
ByAlex P.,134,5
BySusie 28,135,5
Bykspol,136,5
ByT. Bicehouse,137,5
ByHappyGrumpy,138,5
ByF A Howayeck Jr,139,5
BySands,140,5
ByJoe Brown,141,5
ByBOS116,142,5
Byprecious,143,5
ByJennifer,144,5
ByKate,145,5
ByLin,146,4
ByMoose MaGee,147,5
ByDavid L. Casey,148,5
ByMort Roberts,149,5
ByAndre M.,150,5
ByPez,151,5
ByKen Voss,152,4
ByRJS,153,5
ByAmazon Customer,154,5
ByF. Weyerts,155,5
ByKen Walker,156,5
ByPaul Kruger,157,5
ByBluesHawk707,158,5
ByScottB,159,5
ByKimo,160,4
BySuperstar,161,5
ByClayTheMan,162,5
ByCaptive Yet Free,163,5
ByNancy,164,5
ByAmazon Customer,165,4
Bymuriel,166,5
ByB3,167,4
ByJack C Kassapian,168,5
"ByMetro Exteriors, Inc.",169,5
BySharon Kane,170,5
ByMJ,171,4
ByDean A. Park,172,5
ByNorman,173,5
ByJimbosocal,174,4
ByTMB,175,5
Byirenegirl,176,1
ByLisa Marie,177,5
ByGuitarGuy310,178,5
ByLaropy,179,5
Byjanet,180,5
